source,target,date_min
file10317,file10323,1533-11-12
file10317,file10319,1533-11-12
file10318,file10328,1533-11-16
file10318,file10324,1533-11-16
file10318,file10330,1533-11-16
file10318,file10320,1533-11-16
file10318,file10327,1533-11-16
file10318,file10326,1533-11-16
file10319,file10323,1533-11-22
file10320,file10327,1533-11-23
file10320,file10337,1533-11-23
file10320,file10326,1533-11-23
file10320,file10328,1533-11-23
file10320,file10324,1533-11-23
file10320,file10330,1533-11-23
file10320,file10335,1533-11-23
file10323,file10338,1533-12-03
file10323,file10340,1533-12-03
file10324,file10337,1533-12-04
file10324,file10327,1533-12-04
file10324,file10326,1533-12-04
file10324,file10341,1533-12-04
file10324,file10328,1533-12-04
file10324,file10330,1533-12-04
file10324,file10335,1533-12-04
file10326,file10327,1533-12-12
file10326,file10337,1533-12-12
file10326,file10341,1533-12-12
file10326,file10328,1533-12-12
file10326,file10345,1533-12-12
file10326,file10330,1533-12-12
file10326,file10335,1533-12-12
file10327,file10337,1533-12-12
file10327,file10341,1533-12-12
file10327,file10328,1533-12-12
file10327,file10345,1533-12-12
file10327,file10330,1533-12-12
file10327,file10335,1533-12-12
file10328,file10330,1533-12-14
file10328,file10335,1533-12-14
file10328,file10337,1533-12-14
file10328,file10341,1533-12-14
file10328,file10345,1533-12-14
file10329,file10346,1533-12-15
file10330,file10345,1533-12-15
file10330,file10335,1533-12-15
file10330,file10337,1533-12-15
file10330,file10341,1533-12-15
file10331,file10332,1533-12-15
file10331,file10339,1533-12-15
file10332,file10339,1533-12-15
file10335,file10341,1533-12-20
file10335,file10347,1533-12-20
file10335,file10345,1533-12-20
file10335,file10337,1533-12-20
file10337,file10341,1533-12-22
file10337,file10347,1533-12-22
file10337,file10345,1533-12-22
file10338,file10340,1533-12-23
file10341,file10347,1533-12-31
file10341,file10345,1533-12-31
file10341,file10349,1533-12-31
file10341,file10350,1533-12-31
file10345,file10347,1534-01-08
file10345,file10349,1534-01-08
file10345,file10350,1534-01-08
file10347,file10353,1534-01-17
file10347,file10349,1534-01-17
file10347,file10350,1534-01-17
file10347,file10354,1534-01-17
file10347,file10357,1534-01-17
file10348,file10355,1534-01-20
file10349,file10350,1534-01-22
file10349,file10354,1534-01-22
file10349,file10357,1534-01-22
file10349,file10353,1534-01-22
file10350,file10353,1534-01-23
file10350,file10354,1534-01-23
file10350,file10357,1534-01-23
file10352,file10362,1534-01-31
file10353,file10357,1534-02-12
file10353,file10363,1534-02-12
file10353,file10360,1534-02-12
file10353,file10354,1534-02-12
file10353,file10369,1534-02-12
file10354,file10369,1534-02-12
file10354,file10360,1534-02-12
file10354,file10357,1534-02-12
file10354,file10363,1534-02-12
file10355,file10367,1534-02-13
file10357,file10369,1534-02-16
