letter_id,sender_ref,sender_cert,recipient_ref,recipient_cert,date_when,date_cert,place_ref,place_cert,language,date_precision,date_parsed,year,month
file1,p1283,high,p495,high,1547,high,l803,high,la,year_only,1547-01-01,1547,1
file10,p8049,high,p495,high,1548-01-12,high,l762,high,de,full,1548-01-12,1548,1
file100,p396,high,p495,high,1548-04-23,high,l98,high,la,full,1548-04-23,1548,4
file1000,p20172,high,p495,high,1550-08-22,high,l376,high,la,full,1550-08-22,1550,8
file10000,p8030,low,p495,high,1575-08-16,high,l210,low,la,full,1575-08-16,1575,8
file10001,p8081,high,p495,high,1575-08-17,high,l210,high,la,full,1575-08-17,1575,8
file10002,,,,,1575-08-18,high,l441,high,la,full,1575-08-18,1575,8
file10003,p1014,high,p495,high,1575-08-19,high,l61,high,la,full,1575-08-19,1575,8
file10004,p8063,low,p495,high,1575-08-28,high,l41,low,de,full,1575-08-28,1575,8
file10005,p8080,high,p495,high,1575-08-29,high,l49,high,la,full,1575-08-29,1575,8
file10006,p1421,high,,,1575-09-02,high,l202,high,la,full,1575-09-02,1575,9
file10007,p8518,high,p495,high,1575-09-10,high,l18,high,de,full,1575-09-10,1575,9
file10008,p8033,high,p495,high,1575-09-19,high,l167,high,la,full,1575-09-19,1575,9
file10009,p8283,high,p487,high,1575-09-23,high,l429,high,de,full,1575-09-23,1575,9
file1001,p536,high,p495,high,1550-08-24,low,l325,high,la,full,1550-08-24,1550,8
file10010,,,,,1575-09-30,high,,,,full,1575-09-30,1575,9
file10011,p8033,high,,,1575-10-06,high,l167,high,la,full,1575-10-06,1575,10
file10012,p8338,low,p487,high,1575-11-20,high,l429,low,de,full,1575-11-20,1575,11
file10013,p2269,high,p495,high,1523-12-21,high,l90,low,la,full,1523-12-21,1523,12
file10014,p2832,high,p1043,high,1526-01-31,high,l551,high,la,full,1526-01-31,1526,1
file10015,p495,high,p253,high,1523-11-30,high,l242,high,la,full,1523-11-30,1523,11
file10016,p495,high,p8447,high,1524-06-24,high,l242,high,la,full,1524-06-24,1524,6
file10017,p495,low,p3873,high,1524-10-15,high,l242,high,la,full,1524-10-15,1524,10
file10018,p495,high,p1046,low,1524-11-16,high,l242,low,,full,1524-11-16,1524,11
file10019,p495,high,p1400,high,1525-03-13,high,l242,low,de,full,1525-03-13,1525,3
file1002,p8018,high,p495,high,1550-08-24,high,l41,high,la,full,1550-08-24,1550,8
file10020,p495,low,p9709,high,1524-10-01/1524-11-30,low,l242,high,la,range,1524-10-01,1524,10
file10021,p495,high,p2837,high,1525-07-15,high,l242,high,,full,1525-07-15,1525,7
file10022,p1753,high,p495,high,1524-11-15,high,l587,high,la,full,1524-11-15,1524,11
file10023,p495,high,p2819,high,1525-02-05,high,l242,high,de,full,1525-02-05,1525,2
file10024,p495,high,p8447,high,1525-12-10,high,l242,low,la,full,1525-12-10,1525,12
file10025,p495,high,p2827,high,1525-09-01/1525-11-30,low,l242,high,,range,1525-09-01,1525,9
file10026,p1753,high,p495,high,1525-03-02,high,l587,high,la,full,1525-03-02,1525,3
file10027,p495,low,p2833,low,1525-04-17,high,l242,low,la,full,1525-04-17,1525,4
file10028,p495,high,p254,high,1526-01-01/1526-12-31,low,l242,high,la,range,1526-01-01,1526,1
file10029,p1753,high,p495,high,1525-04-20,high,l587,high,la,full,1525-04-20,1525,4
file1003,p8130,high,p495,high,1550-08-26,low,l458,high,de,full,1550-08-26,1550,8
file10030,p495,high,p3873,low,1526-10-01/1526-12-31,low,l242,low,,range,1526-10-01,1526,10
file10031,p495,high,p8443,high,1527-01-18,high,l242,low,de,full,1527-01-18,1527,1
file10032,p1753,high,p495,high,1525-07-06,high,l587,high,la,full,1525-07-06,1525,7
file10033,p495,high,p9709,high,1525-08-31,high,l242,high,la,full,1525-08-31,1525,8
file10034,p495,high,p9709,high,1527-12-27,high,l242,high,,full,1527-12-27,1527,12
file10035,p495,high,p527,high,1530-06-01/1530-09-30,low,l62,low,,range,1530-06-01,1530,6
file10036,p1753,high,p495,high,1525-12-01,high,l587,high,la,full,1525-12-01,1525,12
file10037,p495,high,p4031,low,1525-12-16,high,l242,high,la,full,1525-12-16,1525,12
file10038,p495,low,p2832,high,1526-01-21,high,l207,high,la,full,1526-01-21,1526,1
file10039,p495,high,p263,high,1526-01-26,high,l242,high,la,full,1526-01-26,1526,1
file1004,p654,high,p495,high,1550-08-27,high,l98,high,la,full,1550-08-27,1550,8
file10040,p495,high,p2824,low,1526-02-08,high,l242,high,de,full,1526-02-08,1526,2
file10041,p495,high,p2832,high,1526-02-27,high,l242,high,la,full,1526-02-27,1526,2
file10042,p495,low,p1398,high,1526-05-02,high,l242,high,la,full,1526-05-02,1526,5
file10043,p495,low,p1753,low,1526-05-11,high,l242,high,la,full,1526-05-11,1526,5
file10044,p1753,high,p495,high,1526-05-01/1526-06-30,low,l587,low,la,range,1526-05-01,1526,5
file10045,p495,low,p9709,high,1526-05-01/1526-06-30,low,l242,low,la,range,1526-05-01,1526,5
file10046,p495,low,p3873,high,1526-06-25,high,l242,low,la,full,1526-06-25,1526,6
file10047,p1753,high,p495,high,1526-09-01/1526-12-31,low,l587,high,la,range,1526-09-01,1526,9
file10048,p495,high,p4091,high,1526-09-01/1526-11-30,low,l242,low,la,range,1526-09-01,1526,9
file10049,p495,high,p473,high,1527-04-03,high,l242,high,la,full,1527-04-03,1527,4
file1005,p1851,high,p495,high,1550-08-27,high,l558,high,la,full,1550-08-27,1550,8
file10050,p495,high,p8051,high,1527-09-30,high,l587,low,de,full,1527-09-30,1527,9
file10051,p495,high,,,1527-10-04,high,l587,high,la,full,1527-10-04,1527,10
file10052,p495,low,p8051,low,1527-10-01/1528-06-30,low,l242,low,de,range,1527-10-01,1527,10
file10053,p495,low,p8051,high,1528-02-24,high,l242,low,de,full,1528-02-24,1528,2
file10054,p495,high,p8447,high,1528-04-15,high,l242,high,la,full,1528-04-15,1528,4
file10055,p495,high,p8055,high,1528-06-04,high,l242,high,la,full,1528-06-04,1528,6
file10056,p8055,high,p495,high,1528-09-01,high,l257,high,la,full,1528-09-01,1528,9
file10057,p495,low,p2001,low,1528-10-01/1529-03-31,low,l242,low,de,range,1528-10-01,1528,10
file10058,p8055,high,p495,high,1529-08-11,high,l257,high,la,full,1529-08-11,1529,8
file10059,p495,high,p8443,high,1530-02-18,high,l62,high,la,full,1530-02-18,1530,2
file1006,p8055,low,p495,high,1550-08-28,high,l555,low,de,full,1550-08-28,1550,8
file10060,p495,high,p4091,high,1529-11-24,high,l62,low,la,full,1529-11-24,1529,11
file10061,p4091,high,p495,high,1530-06-22,high,l587,high,la,full,1530-06-22,1530,6
file10062,p1753,high,p495,high,1530-07-11,high,l587,high,la,full,1530-07-11,1530,7
file10063,p2442,high,p495,high,1530-10-04,high,l28,high,la,full,1530-10-04,1530,10
file10064,p495,high,,,1530-12-25,high,l62,high,de,full,1530-12-25,1530,12
file10065,p495,high,p8447,low,1530-10-31,high,l62,high,la,full,1530-10-31,1530,10
file10066,p2835,low,p495,high,1531-06-30,high,l414,high,de,full,1531-06-30,1531,6
file10067,p495,high,p1391,high,1531-07-06,high,l62,high,la,full,1531-07-06,1531,7
file10068,p9709,high,p495,high,1531-10-03,high,l242,high,de,full,1531-10-03,1531,10
file10069,p8054,high,p495,high,1531-11-27,high,l28,low,la,full,1531-11-27,1531,11
file1007,p8101,high,p495,high,1550-08-28,high,l558,high,la,full,1550-08-28,1550,8
file10070,,,p495,high,1531-11-28,high,l28,high,de,full,1531-11-28,1531,11
file10071,p495,high,p8055,high,1531-11-30,high,l587,high,la,full,1531-11-30,1531,11
file10072,p495,high,,,1531-12-02,high,l587,high,de,full,1531-12-02,1531,12
file10073,p8428,high,p495,high,1531-12-03,high,l41,high,la,full,1531-12-03,1531,12
file10074,p1391,high,p495,high,1531-12-06,high,l41,low,la,full,1531-12-06,1531,12
file10075,p495,low,,,1531-12-09,high,l587,low,de,full,1531-12-09,1531,12
file10076,,,p495,high,1531-12-11,high,l41,high,de,full,1531-12-11,1531,12
file10077,p1391,high,p495,high,1531-12-11,high,l41,low,de,full,1531-12-11,1531,12
file10078,p495,high,,,1531-12-14,high,l587,high,de,full,1531-12-14,1531,12
file10079,p8440,high,p495,high,1531-12-18,high,l28,low,la,full,1531-12-18,1531,12
file1008,p8415,high,p495,high,1550-08-28/1550-08-31,low,l296,high,la,range,1550-08-28,1550,8
file10080,p1391,high,p495,high,1531-12-28,high,l41,low,la,full,1531-12-28,1531,12
file10081,p8407,high,p495,high,1531-12-31,high,l555,low,la,full,1531-12-31,1531,12
file10082,p495,low,p8418,high,1532-01-01/1552-10-31,low,l587,low,la,range,1532-01-01,1532,1
file10083,p2810,high,p495,high,1532-01-01,high,l441,low,la,full,1532-01-01,1532,1
file10084,p8320,high,p495,high,1532-01-10,high,l159,high,la,full,1532-01-10,1532,1
file10085,p1391,high,p495,high,1532-01-16,high,l41,high,la,full,1532-01-16,1532,1
file10086,p4349,high,p495,high,1532-01-16,high,l10,high,la,full,1532-01-16,1532,1
file10087,p8440,high,p495,high,1532-01-23,high,l28,low,la,full,1532-01-23,1532,1
file10088,p8071,high,p495,high,1532-01-24,high,l226,low,de,full,1532-01-24,1532,1
file10089,p8083,high,p495,high,1532-01-26,low,,,la,full,1532-01-26,1532,1
file1009,p495,high,p540,low,1550-08-30,high,l587,high,la,full,1550-08-30,1550,8
file10090,p495,high,,,1532-01-28,high,l587,high,la,full,1532-01-28,1532,1
file10091,p495,low,p467,low,1532-01-01/1532-02-28,low,l587,low,la,range,1532-01-01,1532,1
file10092,p1391,high,p495,high,1532-02-09,high,l41,high,la,full,1532-02-09,1532,2
file10093,p1396,high,p495,high,1532-02-13,high,l289,high,la,full,1532-02-13,1532,2
file10094,p1391,high,p495,high,1532-02-20,high,l41,low,la,full,1532-02-20,1532,2
file10095,p8440,high,p495,high,1532-02-21,high,l28,low,la,full,1532-02-21,1532,2
file10096,p3932,high,p495,high,1532-02-21,high,l28,high,la,full,1532-02-21,1532,2
file10097,p19009,high,p495,high,1532-02-25,high,l2,high,la,full,1532-02-25,1532,2
file10098,p1391,high,p495,high,1532-02-28,high,l41,low,la,full,1532-02-28,1532,2
file10099,p1753,high,p495,high,1532-03,high,l587,low,la,year_month,1532-03-01,1532,3
file101,p8049,high,p495,high,1548-04-26,high,l762,high,la,full,1548-04-26,1548,4
file1010,p1010,high,p495,high,1550-08-30,high,l411,high,la,full,1550-08-30,1550,8
file10100,p2004,high,p495,high,1532-03-04,high,l62,low,de,full,1532-03-04,1532,3
file10101,p5565,high,p495,high,1532-03-05,high,l18,high,la,full,1532-03-05,1532,3
file10102,p1391,high,p495,high,1532-03-11,high,l41,high,la,full,1532-03-11,1532,3
file10103,p495,high,p1753,high,1532-03-15,high,l587,low,la,full,1532-03-15,1532,3
file10104,p1753,high,p495,high,1532-03-15,high,l587,low,la,full,1532-03-15,1532,3
file10105,p1391,high,p495,high,1532-03-16/1532-03-22,low,l41,low,la,range,1532-03-16,1532,3
file10106,p495,high,,,1532-03-19,high,l587,high,de,full,1532-03-19,1532,3
file10107,p2810,high,p495,high,1532-03-19,high,l441,high,la,full,1532-03-19,1532,3
file10108,p1391,high,p495,high,1532-03-23,high,l41,low,la,full,1532-03-23,1532,3
file10109,p8440,high,p495,high,1532-03-23,high,l28,low,la,full,1532-03-23,1532,3
file1011,p527,high,p495,high,1550-08-31/1552-08-31,low,l375,low,de,range,1550-08-31,1550,8
file10110,p1391,high,p495,high,1532-03-30,high,l41,low,la,full,1532-03-30,1532,3
file10111,p1391,high,p495,high,1532-03-31,high,l41,low,de,full,1532-03-31,1532,3
file10112,p495,high,p1391,high,1532-04-01,high,l587,high,la,full,1532-04-01,1532,4
file10113,p8412,high,p3242,high,1532-04-01,high,l41,high,la,full,1532-04-01,1532,4
file10114,p4079,high,p495,high,1532-04-06,high,l257,high,la,full,1532-04-06,1532,4
file10115,p495,high,p8055,high,1532-04-09,high,l587,high,la,full,1532-04-09,1532,4
file10116,p8434,high,p1753,high,1532-04-14,high,l513,high,la,full,1532-04-14,1532,4
file10117,p8175,high,p495,high,1532-04-16,high,l267,high,la,full,1532-04-16,1532,4
file10118,p1391,high,p495,high,1532-04-20,high,l41,low,la,full,1532-04-20,1532,4
file10119,p5565,high,p495,high,1532-04-21,high,l491,high,la,full,1532-04-21,1532,4
file1012,p1278,high,p495,high,1550-09,low,l28,high,la,year_month,1550-09-01,1550,9
file10120,p4033,high,p495,high,1532-04-28,high,l2,low,la,full,1532-04-28,1532,4
file10121,p8071,high,p495,high,1532-04-30,high,l473,high,de,full,1532-04-30,1532,4
file10122,p1391,high,p495,high,1532-05-05,high,l41,low,la,full,1532-05-05,1532,5
file10123,p1399,high,p495,high,1532-05-09,high,l555,high,la,full,1532-05-09,1532,5
file10124,p8418,high,p495,high,1532-05-13,high,l28,high,la,full,1532-05-13,1532,5
file10125,p495,low,p467,high,1532-05,high,l587,low,la,year_month,1532-05-01,1532,5
file10126,p1055,high,p495,high,1532-05-23,high,l513,high,la,full,1532-05-23,1532,5
file10127,p1391,high,p495,high,1532-05-25,high,l41,low,la,full,1532-05-25,1532,5
file10128,p8412,high,p1753,high,1532-05-25,high,l41,high,la,full,1532-05-25,1532,5
file10129,p261,high,p495,high,1532-06-01,high,l497,low,de,full,1532-06-01,1532,6
file1013,p8418,high,p495,high,1550-09-23,high,l28,high,la,full,1550-09-23,1550,9
file10130,p1391,high,p495,high,1532-06-03/1532-06-04,low,l41,high,la,range,1532-06-03,1532,6
file10131,p495,high,p1391,high,1532-06-04,high,l587,low,la,full,1532-06-04,1532,6
file10132,p8460,high,p495,high,1532-06-04,high,l473,high,de,full,1532-06-04,1532,6
file10133,p2004,high,p495,high,1532-06-11,high,l62,low,de,full,1532-06-11,1532,6
file10134,p4033,high,p495,high,1532-06-12,high,l2,low,la,full,1532-06-12,1532,6
file10135,,,p8616,high,1532-06-17,high,l587,high,de,full,1532-06-17,1532,6
file10136,p66,high,p495,high,1532-06-18,high,l73,high,de,full,1532-06-18,1532,6
file10137,,,p8616,high,1532-06,low,l587,low,de,year_month,1532-06-01,1532,6
file10138,p5565,low,p495,high,1532-06-24,high,l491,high,la,full,1532-06-24,1532,6
file10139,,,,,1532-07-09,high,l582,high,de,full,1532-07-09,1532,7
file1014,p505,high,p495,high,1550-09-01,high,l491,high,la,full,1550-09-01,1550,9
file10140,p495,high,p467,high,1532-07-12,high,l587,high,la,full,1532-07-12,1532,7
file10141,p467,high,p495,high,1532-07-12,high,l491,high,la,full,1532-07-12,1532,7
file10142,,,,,1532-07-17,high,l28,high,la,full,1532-07-17,1532,7
file10143,p2919,high,p495,high,1532-07-19,high,l152,high,la,full,1532-07-19,1532,7
file10144,p4033,high,p495,high,1532-07-21,high,l2,low,la,full,1532-07-21,1532,7
file10145,p1391,high,p495,high,1532-07-25,high,l41,low,la,full,1532-07-25,1532,7
file10146,p8014,high,p495,high,1532-07-28,low,l278,high,de,full,1532-07-28,1532,7
file10147,p8320,high,p495,high,1532-08-01,high,l159,high,la,full,1532-08-01,1532,8
file10148,p1391,high,p495,high,1532-08-05,high,l41,low,la,full,1532-08-05,1532,8
file10149,p1283,high,p495,high,1532-08-10,high,l491,high,la,full,1532-08-10,1532,8
file1015,p8418,high,p495,high,1550-09-01,high,l28,high,la,full,1550-09-01,1550,9
file10150,p1283,high,p495,high,1532-08-10,high,l491,high,la,full,1532-08-10,1532,8
file10151,p8175,high,p495,high,1532-08-12,high,l267,high,de,full,1532-08-12,1532,8
file10152,p467,high,p1753,high,1532-08-12,high,l491,high,la,full,1532-08-12,1532,8
file10153,p4060,high,p495,high,1532-08-13,high,l2,low,de,full,1532-08-13,1532,8
file10154,p2836,high,p495,high,1532-08-15,high,l310,high,la,full,1532-08-15,1532,8
file10155,p495,high,p3590,high,1532-08-17,high,l587,high,la,full,1532-08-17,1532,8
file10156,p8330,high,p495,high,1532-08-21,high,l582,high,la,full,1532-08-21,1532,8
file10157,p2836,high,p495,high,1532-08-24,high,l310,high,la,full,1532-08-24,1532,8
file10158,p8389,high,p495,high,1532-08-27,high,l41,low,de,full,1532-08-27,1532,8
file10159,p467,high,p495,high,1532-08,high,l491,low,la,year_month,1532-08-01,1532,8
file1016,p8113,high,p495,high,1550-09-01,high,l512,high,la,full,1550-09-01,1550,9
file10160,p495,high,p3590,high,1532-09-01,high,l587,high,de,full,1532-09-01,1532,9
file10161,p1391,high,p495,high,1532-09-08,high,l41,high,la,full,1532-09-08,1532,9
file10162,p2810,high,p495,high,1532-09-10,high,l441,high,la,full,1532-09-10,1532,9
file10163,p1391,high,p495,high,1532-09-12,high,l41,high,la,full,1532-09-12,1532,9
file10164,p8175,high,p495,high,1532-09-13,high,l267,high,la,full,1532-09-13,1532,9
file10165,p3590,high,p495,high,1532-09-15,high,l246,low,de,full,1532-09-15,1532,9
file10166,p8443,high,p495,high,1532-09-16,high,l242,low,de,full,1532-09-16,1532,9
file10167,p8412,high,p1753,high,1532-09-22,high,l41,high,la,full,1532-09-22,1532,9
file10168,p8521,high,p495,high,1532-09-24,high,l2,high,de,full,1532-09-24,1532,9
file10169,p4079,high,p495,high,1532-09,high,l257,low,la,year_month,1532-09-01,1532,9
file1017,p1278,high,p495,high,1550-09-02,high,l28,high,la,full,1550-09-02,1550,9
file10170,p1753,high,p495,high,1532-08-01/1532-11-30,low,l587,low,la,range,1532-08-01,1532,8
file10171,p1391,low,p495,high,1532-10-02,high,l41,low,la,full,1532-10-02,1532,10
file10172,p8440,high,p495,high,1532-10-04,high,l28,high,la,full,1532-10-04,1532,10
file10173,p495,high,p3590,high,1532-10-22,high,l587,high,de,full,1532-10-22,1532,10
file10174,p4079,low,p495,low,1532-10-26,high,l257,high,la,full,1532-10-26,1532,10
file10175,p1283,high,p495,high,1532-10,high,l491,low,la,year_month,1532-10-01,1532,10
file10176,p1996,high,p495,high,1532-10-01/1532-11-30,low,,,la,range,1532-10-01,1532,10
file10177,p1391,high,p495,high,1532-11-09,high,l41,low,la,full,1532-11-09,1532,11
file10178,p8071,high,p495,high,1532-11-11,high,l134,high,de,full,1532-11-11,1532,11
file10179,p1391,high,p495,high,1532-11-12,high,l41,low,la,full,1532-11-12,1532,11
file1018,p3429,high,p495,high,1550-09-04,high,l280,high,la,full,1550-09-04,1550,9
file10180,p8130,high,p495,high,1532-11-14,high,l486,high,la,full,1532-11-14,1532,11
file10181,p1391,high,p495,high,1532-11-15,high,l41,low,la,full,1532-11-15,1532,11
file10182,p5565,high,p495,high,1532-11-17,high,l491,high,la,full,1532-11-17,1532,11
file10183,p8049,high,p495,high,1532-11-20,high,l473,low,la,full,1532-11-20,1532,11
file10184,p8049,high,p495,low,1532-11,high,l473,low,de,year_month,1532-11-01,1532,11
file10185,p8049,low,p495,low,1532-11-27,high,l473,low,la,full,1532-11-27,1532,11
file10186,p1391,high,p495,high,1532-11-30,high,l41,low,de,full,1532-11-30,1532,11
file10187,p3873,low,p495,high,1532-12-03,high,l801,low,de,full,1532-12-03,1532,12
file10188,p8129,high,p495,high,1532-12-04,high,l28,high,de,full,1532-12-04,1532,12
file10189,p8130,high,p495,high,1532-12-04,high,l486,high,la,full,1532-12-04,1532,12
file1019,p2916,high,p495,high,1550-09-05,high,l28,high,de,full,1550-09-05,1550,9
file10190,p1309,high,p495,high,1532-12-07,high,l473,high,de,full,1532-12-07,1532,12
file10191,p8320,high,p495,high,1532-12-13,high,l159,high,la,full,1532-12-13,1532,12
file10192,p1391,high,p495,high,1532-12-14,high,l41,low,la,full,1532-12-14,1532,12
file10193,p1888,high,p495,high,1532-12-22,high,l266,low,de,full,1532-12-22,1532,12
file10194,p8440,high,p495,high,1532-12-25,high,l28,low,la,full,1532-12-25,1532,12
file10195,p1391,high,p495,high,1532-12-28,high,l41,high,la,full,1532-12-28,1532,12
file10196,p8418,high,p495,low,1532-12,high,l28,low,la,year_month,1532-12-01,1532,12
file10197,p1040,high,p495,high,1532-12,high,,,de,year_month,1532-12-01,1532,12
file10198,p8465,high,p495,high,1533-01-01/1533-12-31,low,l28,high,la,range,1533-01-01,1533,1
file10199,p459,high,p495,high,1533-01-02,high,l510,high,de,full,1533-01-02,1533,1
file102,p8049,high,p495,high,1548-04-26,high,l762,low,la,full,1548-04-26,1548,4
file1020,p3902,high,p495,high,1550-09-05,high,l569,high,la,full,1550-09-05,1550,9
file10200,p467,high,p495,high,1533-01-05,high,l491,high,la,full,1533-01-05,1533,1
file10201,p5565,low,p495,high,1533-01-05,high,l491,high,la,full,1533-01-05,1533,1
file10202,p495,low,p467,high,1533-01-05,high,l587,low,la,full,1533-01-05,1533,1
file10203,p1391,high,p495,high,1533-01-06,high,l41,low,la,full,1533-01-06,1533,1
file10204,p8369,high,p495,high,1533-01-08,high,l203,high,de,full,1533-01-08,1533,1
file10205,p1391,high,p495,high,1533-01-08,high,l41,low,la,full,1533-01-08,1533,1
file10206,p4079,high,p495,high,1533-01-13,high,l257,high,la,full,1533-01-13,1533,1
file10207,p467,high,p495,high,1533-01-14,high,l491,high,de,full,1533-01-14,1533,1
file10208,p5565,high,p495,high,1533-01-14,high,l491,low,la,full,1533-01-14,1533,1
file10209,p5565,low,p495,high,1533-01-14,high,l491,low,la,full,1533-01-14,1533,1
file1021,p3530,high,p495,high,1550-09-06,high,l21,high,de,full,1550-09-06,1550,9
file10210,p1045,high,p495,high,1533-01-17,high,l49,low,la,full,1533-01-17,1533,1
file10211,p1391,high,p495,high,1533-01-23,high,l41,low,de,full,1533-01-23,1533,1
file10212,p8418,low,p495,high,1533-01-27,high,l28,low,la,full,1533-01-27,1533,1
file10213,p8501,high,p495,high,1533-01-27,high,l305,low,de,full,1533-01-27,1533,1
file10214,p1391,high,p495,high,1533-01-31,high,l41,low,la,full,1533-01-31,1533,1
file10215,p8418,low,p495,low,1533-01-01/1533-02-28,low,l28,high,la,range,1533-01-01,1533,1
file10216,p4079,low,p495,low,1533-01-01/1533-02-28,low,l257,low,la,range,1533-01-01,1533,1
file10217,p495,high,p1391,high,1533-02,high,l587,low,la,year_month,1533-02-01,1533,2
file10218,p8440,high,p495,high,1533-02-05,high,l28,low,la,full,1533-02-05,1533,2
file10219,p1391,high,p495,high,1533-02-09,high,l41,low,la,full,1533-02-09,1533,2
file1022,p8098,high,p495,low,1550-09-07,high,l21,high,de,full,1550-09-07,1550,9
file10220,p8418,low,p495,high,1533-02-09,high,l28,high,la,full,1533-02-09,1533,2
file10221,p8126,high,p495,high,1533-02-11,high,l28,low,la,full,1533-02-11,1533,2
file10222,p467,high,p495,high,1533-02-14,high,l491,high,la,full,1533-02-14,1533,2
file10223,p8435,high,p495,high,1533-02-17,high,l473,high,la,full,1533-02-17,1533,2
file10224,p1283,high,p495,high,1533-02-25,high,l28,high,la,full,1533-02-25,1533,2
file10225,p8458,high,p495,high,1533-02,high,,,la,year_month,1533-02-01,1533,2
file10226,p8398,high,p495,high,1533-03-01,high,l587,low,la,full,1533-03-01,1533,3
file10227,p2810,high,p495,high,1533-03-06,high,l441,high,la,full,1533-03-06,1533,3
file10228,p495,high,p8049,high,1533-03-08,high,l587,high,de,full,1533-03-08,1533,3
file10229,p4079,high,p495,low,1533-03-10,high,l257,high,la,full,1533-03-10,1533,3
file1023,p1456,high,p495,high,1550-09-09,high,l311,high,la,full,1550-09-09,1550,9
file10230,p1391,high,p495,high,1533-03-17,high,l41,low,la,full,1533-03-17,1533,3
file10231,p8055,high,p495,high,1533-03-22,high,l257,high,la,full,1533-03-22,1533,3
file10232,p8175,high,p495,high,1533-03-24,high,l267,high,de,full,1533-03-24,1533,3
file10233,p5565,low,p495,high,1533-03-26,high,l491,low,de,full,1533-03-26,1533,3
file10234,p8071,high,p495,high,1533-03-27,high,l473,high,de,full,1533-03-27,1533,3
file10235,p2259,high,p495,high,1533-03-28,high,l257,high,de,full,1533-03-28,1533,3
file10236,p8055,high,p495,high,1533-03-30,high,l257,high,la,full,1533-03-30,1533,3
file10237,p1391,low,p495,high,1533-03-31,high,l41,low,la,full,1533-03-31,1533,3
file10238,p8443,high,p495,high,1533-04-01,high,l242,high,de,full,1533-04-01,1533,4
file10239,p1391,low,p495,high,1533-04-02,high,l41,low,la,full,1533-04-02,1533,4
file1024,p8055,low,p495,high,1550-09-12,high,l555,low,de,full,1550-09-12,1550,9
file10240,p8423,high,p495,high,1533-04-10,high,l313,high,de,full,1533-04-10,1533,4
file10241,p1283,high,p495,high,1533-04-14,high,l59,high,la,full,1533-04-14,1533,4
file10242,p1391,high,p495,high,1533-04-16,high,l41,low,la,full,1533-04-16,1533,4
file10243,p8418,high,p495,high,1533-04-16,high,l28,high,la,full,1533-04-16,1533,4
file10244,p3964,high,p495,high,1533-04-23,high,l501,high,de,full,1533-04-23,1533,4
file10245,p2810,high,p495,high,1533-04-26,high,l441,high,la,full,1533-04-26,1533,4
file10246,p1388,high,p495,high,1533-04-30,high,l473,high,de,full,1533-04-30,1533,4
file10247,p8418,high,p495,high,1533-05-01,high,l28,high,la,full,1533-05-01,1533,5
file10248,p1391,high,p495,high,1533-05-02,high,l41,low,la,full,1533-05-02,1533,5
file10249,,,,,1533-05-03,high,l373,low,de,full,1533-05-03,1533,5
file1025,p505,high,p495,high,1550-09-14,high,l157,high,la,full,1550-09-14,1550,9
file10250,p495,high,p467,high,1533-05-08,high,l587,low,la,full,1533-05-08,1533,5
file10251,p467,high,p495,high,1533-05-11,high,l41,high,la,full,1533-05-11,1533,5
file10252,p1391,high,p495,high,1533-05-11,high,l41,low,la,full,1533-05-11,1533,5
file10253,p8418,high,p495,high,1533-05-13,high,l28,high,la,full,1533-05-13,1533,5
file10254,p495,high,,,1533-05-14,high,l587,high,de,full,1533-05-14,1533,5
file10255,p1214,high,p495,high,1533-05-14,high,l59,high,la,full,1533-05-14,1533,5
file10256,p1041,high,p495,high,1533-05-19,high,l159,high,de,full,1533-05-19,1533,5
file10257,p8055,high,p495,high,1533-05-23,high,l257,high,la,full,1533-05-23,1533,5
file10258,p8175,high,p495,high,1533-05-27,high,l267,high,de,full,1533-05-27,1533,5
file10259,p1391,high,p495,high,1533-05-29,high,l41,low,la,full,1533-05-29,1533,5
file1026,p3375,high,p495,high,1550-09-17,high,l525,high,la,full,1550-09-17,1550,9
file10260,p495,high,p8049,high,1533-05-01/1533-06-30,low,l587,low,de,range,1533-05-01,1533,5
file10261,p2813,high,p495,high,1533-06-01,high,l586,high,de,full,1533-06-01,1533,6
file10262,p1804,high,p495,high,1533-06-03,high,l270,high,la,full,1533-06-03,1533,6
file10263,p8440,high,p495,high,1533-06-07,high,l28,high,la,full,1533-06-07,1533,6
file10264,p1391,high,p495,high,1533-06-08,high,l41,low,la,full,1533-06-08,1533,6
file10265,p8418,high,p495,high,1533-06-08,high,l28,high,la,full,1533-06-08,1533,6
file10266,p1391,high,p495,high,1533-06-12,high,l41,low,la,full,1533-06-12,1533,6
file10267,p495,high,p8049,high,1533-06-13,high,l587,low,la,full,1533-06-13,1533,6
file10268,p8418,high,p495,high,1533-06-19,high,l28,high,la,full,1533-06-19,1533,6
file10269,p467,high,p495,high,1533-07-11,high,l491,high,la,full,1533-07-11,1533,7
file1027,p495,high,p8418,high,1550-09-24,high,l587,high,la,full,1550-09-24,1550,9
file10270,p1391,high,p495,high,1533-07-13,high,l41,low,la,full,1533-07-13,1533,7
file10271,p8466,high,p495,high,1533-07-13,high,l28,low,la,full,1533-07-13,1533,7
file10272,p1391,high,p495,high,1533-07-14,high,l41,low,de,full,1533-07-14,1533,7
file10273,p1390,high,p495,high,1533-07-14,high,l907,high,la,full,1533-07-14,1533,7
file10274,p495,high,p8418,high,1533-07-17,high,l587,low,la,full,1533-07-17,1533,7
file10275,p8418,high,p495,high,1533-07-20,high,l28,high,la,full,1533-07-20,1533,7
